zip_code,cluster
20057,verde_ftth
20058,verde_fwa
20059,gialli
20060,gialli
20060,verde_ftth
20060,verde_fwa
20061,gialli
20062,gialli
20063,verde_ftth
20064,verde_fwa
20065,verde_fwa
20066,gialli
20067,verde_fwa
20068,verde_ftth
20069,verde_fwa
20070,gialli
20070,verde_ftth
20071,verde_ftth
20072,verde_fwa
20073,verde_ftth
20074,rossi
20075,gialli
20076,gialli
20077,gialli
20078,verde_fwa
20079,verde_ftth
20080,gialli
20080,verde_ftth
20081,rossi
20081,verde_ftth
20082,gialli
20083,gialli
20084,verde_ftth
20085,gialli
20086,verde_fwa
20087,verde_ftth
20088,verde_ftth
20088,verde_fwa
20089,gialli
20090,verde_ftth
20091,verde_ftth
20092,gialli
20093,rossi
20094,verde_ftth
20095,verde_ftth
20096,verde_ftth
20097,verde_ftth
20098,verde_ftth
20099,gialli
20121,gialli
20122,gialli
20123,gialli
20124,gialli
20125,gialli
20126,gialli
20127,gialli
20128,gialli
20129,gialli
20131,gialli
20132,gialli
20133,gialli
20134,gialli
20135,gialli
20136,gialli
20137,gialli
20138,gialli
20139,gialli
20141,gialli
20142,gialli
20143,gialli
20144,gialli
20145,gialli
20146,gialli
20147,gialli
20148,gialli
20149,gialli
20151,gialli
20152,gialli
20153,gialli
20154,gialli
20155,gialli
20156,gialli
20157,gialli
20158,gialli
20159,gialli
20161,gialli
20162,gialli
20811,verde_ftth
20812,verde_ftth
20813,verde_fwa
20814,gialli
20815,verde_ftth
20816,verde_ftth
20821,gialli
20822,verde_fwa
20823,rossi
20824,verde_ftth
20825,gialli
20826,gialli
20831,gialli
20832,gialli
20833,verde_ftth
20834,gialli
20835,gialli
20836,gialli
20837,verde_ftth
20838,verde_ftth
20841,gialli
20842,rossi
20843,verde_ftth
20844,verde_ftth
20845,verde_fwa
20846,verde_ftth
20847,verde_fwa
20851,gialli
20852,verde_fwa
20853,verde_ftth
20854,verde_ftth
20855,verde_fwa
20856,gialli
20857,gialli
20861,verde_ftth
20862,verde_fwa
20863,verde_ftth
20864,verde_fwa
20865,verde_fwa
20866,verde_ftth
20867,gialli
20871,verde_fwa
20872,verde_fwa
20873,verde_fwa
20874,verde_ftth
20875,gialli
20876,verde_ftth
20877,verde_ftth
20881,verde_fwa
20882,verde_fwa
20883,gialli
20884,verde_ftth
20885,gialli
20886,verde_ftth
20900,gialli
21010,gialli
21010,rossi
21010,verde_ftth
21010,verde_fwa
21011,gialli
21012,rossi
21013,rossi
21014,verde_fwa
21015,verde_fwa
21016,gialli
21017,rossi
21018,verde_fwa
21019,rossi
21020,gialli
21020,verde_ftth
21020,verde_fwa
21021,verde_ftth
21022,gialli
21023,gialli
21024,verde_fwa
21025,verde_ftth
21026,verde_fwa
21027,gialli
21028,gialli
21029,gialli
21030,gialli
21030,verde_ftth
21030,verde_fwa
21031,verde_fwa
21032,verde_fwa
21033,verde_fwa
21034,gialli
21035,verde_fwa
21036,verde_fwa
21037,gialli
21038,gialli
21038,verde_fwa
21039,gialli
21040,gialli
21040,rossi
21040,verde_ftth
21040,verde_fwa
21041,verde_ftth
21042,gialli
21043,gialli
21044,verde_ftth
21045,verde_ftth
21046,rossi
21047,verde_fwa
21048,verde_ftth
21049,rossi
21050,gialli
21050,rossi
21050,verde_ftth
21050,verde_fwa
21051,verde_fwa
21052,gialli
21053,verde_fwa
21054,rossi
21055,verde_ftth
21056,verde_fwa
21057,verde_fwa
21058,verde_ftth
21059,gialli
21061,verde_fwa
21062,gialli
21100,gialli
22010,gialli
22010,rossi
22010,verde_fwa
22011,gialli
22012,verde_fwa
22013,verde_fwa
22014,verde_fwa
22015,gialli
22016,verde_ftth
22017,verde_fwa
